104.629115646,"99.38 bpm"
105.232834467,"99.38 bpm"
105.836553287,"101.33 bpm"
106.428662131,"99.38 bpm"
107.032380952,"99.38 bpm"
107.636099773,"97.51 bpm"
108.251428571,"97.51 bpm"
108.866757369,"101.33 bpm"
109.458866213,"97.51 bpm"
110.074195011,"99.38 bpm"
110.677913832,"101.33 bpm"
111.270022675,"99.38 bpm"
111.873741496,"99.38 bpm"
112.477460317,"99.38 bpm"
113.081179138,"99.38 bpm"
113.684897959,"99.38 bpm"
114.288616780,"99.38 bpm"
114.892335600,"97.51 bpm"
115.507664399,"99.38 bpm"
116.111383219,"99.38 bpm"
116.715102040,"101.33 bpm"
117.307210884,"97.51 bpm"
117.922539682,"99.38 bpm"
118.526258503,"99.38 bpm"
119.129977324,"99.38 bpm"
119.733696145,"97.51 bpm"
120.349024943,"97.51 bpm"
120.964353741,"101.33 bpm"
121.556462585,"99.38 bpm"
122.160181405,"99.38 bpm"
122.763900226,"99.38 bpm"
123.367619047,"99.38 bpm"
123.971337868,"99.38 bpm"
124.575056689,"99.38 bpm"
125.178775510,"97.51 bpm"
125.794104308,"99.38 bpm"
126.397823129,"101.33 bpm"
126.989931972,"99.38 bpm"
127.593650793,"99.38 bpm"
128.197369614,"99.38 bpm"
128.801088435,"99.38 bpm"
129.404807256,"97.51 bpm"
130.020136054,"99.38 bpm"
130.623854875,"99.38 bpm"
131.227573696,"99.38 bpm"
131.831292517,"97.51 bpm"
132.446621315,"99.38 bpm"
133.050340136,"99.38 bpm"
133.654058956,"97.51 bpm"
134.269387755,"101.33 bpm"
134.861496598,"99.38 bpm"
135.465215419,"99.38 bpm"
136.068934240,"99.38 bpm"
136.672653061,"99.38 bpm"
137.276371882,"97.51 bpm"
137.891700680,"99.38 bpm"
138.495419501,"97.51 bpm"
139.110748299,"101.33 bpm"
139.702857142,"99.38 bpm"
140.306575963,"99.38 bpm"
140.910294784,"101.33 bpm"
141.502403628,"97.51 bpm"
142.117732426,"99.38 bpm"
142.721451247,"99.38 bpm"
143.325170068,"97.51 bpm"
143.940498866,"99.38 bpm"
144.544217687,"99.38 bpm"
145.147936507,"99.38 bpm"
145.751655328,"99.38 bpm"
146.355374149,"99.38 bpm"
146.959092970,"97.51 bpm"
147.574421768,"101.33 bpm"
148.166530612,"99.38 bpm"
148.770249433,"97.51 bpm"
149.385578231,"99.38 bpm"
149.989297052,"101.33 bpm"
150.581405895,"99.38 bpm"
151.185124716,"99.38 bpm"
151.788843537,"99.38 bpm"
152.392562358,"97.51 bpm"
153.007891156,"97.51 bpm"
153.623219954,"101.33 bpm"
154.215328798,"99.38 bpm"
154.819047619,"99.38 bpm"
155.422766439,"99.38 bpm"
156.026485260,"99.38 bpm"
156.630204081,"97.51 bpm"
157.245532879,"99.38 bpm"
157.849251700,"97.51 bpm"
158.464580498,"101.33 bpm"
159.056689342,"99.38 bpm"
159.660408163,"99.38 bpm"
160.264126984,"99.38 bpm"
160.867845804,"99.38 bpm"
161.471564625,"99.38 bpm"
162.075283446,"99.38 bpm"
162.679002267,"99.38 bpm"
163.282721088,"97.51 bpm"
163.898049886,"99.38 bpm"
164.501768707,"99.38 bpm"
